,User ID,Subscription Type,Period Revenue,Join Date,Payment Date,Country,Age,Gender,Device,Plan Duration
0,1,Basic,24.990000000000002,2022-01-15,2023-10-06,United States,28,Male,Smartphone,12 Months
1,2,Premium,62.475,2021-05-09,2023-06-22,Canada,35,Female,Tablet,12 Months
2,3,Basic,3.0,2023-02-28,2023-06-27,United Kingdom,42,Male,Smart TV,1 Month
3,4,Standard,34.986000000000004,2022-10-07,2023-06-26,Australia,51,Female,Laptop,12 Months
4,5,Basic,3.0,2023-01-05,2023-06-28,Germany,33,Male,Smartphone,1 Month
5,6,Premium,7.5,2022-03-18,2023-06-27,France,29,Female,Smart TV,1 Month
6,7,Basic,24.990000000000002,2021-09-12,2023-06-25,Brazil,46,Male,Tablet,12 Months
7,8,Basic,3.0,2023-02-04,2023-06-24,Mexico,39,Female,Laptop,1 Month
8,9,Basic,24.990000000000002,2022-10-20,2023-06-23,Spain,37,Male,Smartphone,12 Months
9,10,Basic,3.0,2023-07-01,2023-06-22,Italy,44,Female,Smart TV,1 Month
10,11,Standard,34.986000000000004,2022-05-16,2023-06-22,United States,31,Female,Smartphone,12 Months
11,12,Basic,3.0,2023-03-23,2023-06-28,Canada,45,Male,Tablet,1 Month
12,13,Premium,62.475,2021-11-30,2023-06-27,United Kingdom,48,Female,Laptop,12 Months
13,14,Basic,3.0,2022-01-08,2023-06-26,Australia,27,Male,Smartphone,1 Month
14,15,Basic,3.0,2023-09-05,2023-06-28,Germany,38,Female,Smart TV,1 Month
15,16,Basic,24.990000000000002,2022-07-04,2023-06-27,France,36,Male,Tablet,12 Months
16,17,Premium,7.5,2022-01-24,2023-06-25,Brazil,30,Female,Laptop,1 Month
17,18,Basic,24.990000000000002,2021-10-18,2023-06-24,Mexico,43,Male,Smartphone,12 Months
18,19,Basic,3.0,2023-02-15,2023-06-23,Spain,32,Female,Smart TV,1 Month
19,20,Basic,3.0,2023-05-27,2023-06-22,Italy,41,Male,Tablet,1 Month
20,21,Basic,24.990000000000002,2023-10-06,2023-06-22,United States,26,Female,Laptop,12 Months
21,22,Basic,3.0,2022-07-22,2023-06-28,Canada,34,Male,Smartphone,1 Month
22,23,Basic,3.0,2021-05-12,2023-06-27,United Kingdom,49,Female,Smart TV,1 Month
23,24,Basic,24.990000000000002,2022-03-04,2023-06-26,Australia,31,Male,Tablet,12 Months
24,25,Standard,34.986000000000004,2023-03-14,2023-06-28,Germany,40,Female,Laptop,12 Months
25,26,Basic,3.0,2022-12-01,2023-06-27,France,29,Male,Smartphone,1 Month
26,27,Basic,3.0,2022-08-29,2023-06-25,Brazil,47,Female,Smart TV,1 Month
27,28,Basic,24.990000000000002,2021-09-27,2023-06-24,Mexico,33,Male,Tablet,12 Months
28,29,Basic,24.990000000000002,2022-12-19,2023-06-23,Spain,36,Female,Laptop,12 Months
29,30,Basic,3.0,2023-05-17,2023-06-22,Italy,42,Male,Smartphone,1 Month
30,31,Premium,7.5,2023-03-02,2023-06-22,United States,28,Female,Smart TV,1 Month
31,32,Basic,24.990000000000002,2022-07-07,2023-06-28,Canada,37,Male,Tablet,12 Months
32,33,Standard,4.2,2022-01-21,2023-06-27,United Kingdom,41,Female,Laptop,1 Month
33,34,Basic,24.990000000000002,2022-05-25,2023-06-26,Australia,29,Male,Smartphone,12 Months
34,35,Basic,3.0,2023-11-04,2023-06-28,Germany,39,Female,Smart TV,1 Month
35,36,Basic,3.0,2022-01-03,2023-06-27,France,35,Male,Tablet,1 Month
